totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
681000;902;18395;0;1250;
682000;905;18339;0;1440;
683000;886;18269;0;1251;
684000;899;18280;0;1174;
685000;896;18009;0;1302;
686000;894;17741;0;1356;
687000;891;18220;0;1399;
688000;895;18353;0;1216;
689000;888;18204;0;1405;
690000;909;18353;0;1273;
691000;898;18384;0;1528;
692000;892;18131;0;1549;
693000;892;18363;0;1272;
694000;902;18421;0;1159;
695000;885;18584;0;1210;
696000;902;18616;0;1450;
697000;888;18368;0;1509;
698000;865;17905;0;1611;
699000;880;18129;0;1998;
700000;882;18516;0;1692;
701000;909;18431;0;936;
702000;888;17903;0;1438;
703000;873;17836;0;1726;
704000;887;18335;0;1645;
705000;903;18289;0;1098;
706000;889;18283;0;1640;
707000;888;17987;0;1207;
708000;876;18171;0;1409;
709000;884;18180;0;1642;
710000;904;18292;0;1231;
711000;902;18218;0;1127;
712000;903;18252;0;1452;
713000;892;18150;0;1434;
714000;877;18174;0;1601;
715000;886;18306;0;1362;
716000;892;18348;0;1549;
717000;889;18286;0;1331;
718000;898;17852;0;1303;
719000;899;18333;0;1135;
720000;884;18101;0;1490;
721000;895;18179;0;1309;
722000;906;18327;0;1305;
723000;890;18300;0;1526;
724000;902;18647;0;1172;
725000;904;18044;0;1069;
726000;898;17955;0;1395;
727000;890;18166;0;1592;
728000;898;18117;0;1370;
729000;892;18154;0;1233;
730000;896;18142;0;1472;
731000;880;18807;0;1435;
732000;882;17988;0;1514;
733000;899;18223;0;1131;
734000;885;18153;0;1519;
735000;910;18203;0;927;
736000;890;18064;0;1238;
737000;900;18114;0;1280;
738000;902;18182;0;1284;
739000;904;18109;0;1450;
740000;897;18280;0;1229;
741000;885;18228;0;1231;
742000;897;18799;0;1514;
743000;907;18564;0;1249;
744000;895;18113;0;1281;
745000;905;18181;0;1207;
746000;893;18045;0;1597;
747000;907;18056;0;1353;
748000;901;18288;0;1420;
749000;889;18206;0;1450;
750000;893;17803;0;1409;
751000;877;18069;0;1679;
752000;887;18105;0;1329;
753000;887;18075;0;1523;
754000;882;18453;0;1562;
755000;892;18244;0;1363;
756000;904;18242;0;1548;
757000;898;17885;0;1702;
758000;891;18113;0;1172;
759000;903;18075;0;1292;
760000;885;18142;0;1592;
761000;913;18381;0;1127;
762000;892;18344;0;1474;
763000;901;18685;0;1164;
764000;889;17874;0;1181;
765000;888;18117;0;1510;
766000;892;18487;0;1458;
767000;880;18009;0;1693;
768000;893;17890;0;1320;
769000;900;18287;0;1181;
770000;897;18287;0;1384;
771000;903;18347;0;1483;
772000;886;18316;0;1573;
773000;919;18515;0;942;
774000;890;18345;0;1615;
775000;889;18320;0;1500;
776000;881;17912;0;1700;
777000;878;18091;0;1932;
778000;896;18208;0;1554;
779000;890;18283;0;1225;
