totalGamesPlayed;gamesWonInSeries;movesInSeries;correctMovesInSeries;cellsToUnCoverInSeries;
215000;304;12789;12093;9850;2022-04-21T21:46:25.722;
216000;285;12358;11644;10431;2022-04-21T21:48:42.399;
217000;297;12534;11830;10673;2022-04-21T21:50:58.967;
218000;310;12571;11882;10638;2022-04-21T21:53:16.833;
219000;315;12679;11993;10548;2022-04-21T21:55:34.988;
220000;297;12543;11840;9978;2022-04-21T21:57:51.522;
221000;306;12273;11579;10690;2022-04-21T22:00:07.276;
222000;307;12326;11634;10013;2022-04-21T22:02:22.832;
223000;315;12890;12205;9851;2022-04-21T22:04:45.233;
224000;310;12602;11911;10395;2022-04-21T22:07:02.633;
225000;300;12631;11931;10289;2022-04-21T22:09:21.758;
226000;296;12203;11499;10230;2022-04-21T22:11:35.154;
227000;316;12609;11925;9893;2022-04-21T22:13:52.710;
228000;296;12210;11506;11057;2022-04-21T22:16:05.756;
229000;322;12586;11908;9980;2022-04-21T22:18:23.300;
230000;307;12603;11911;10399;2022-04-21T22:20:41.331;
231000;301;12599;11899;9974;2022-04-21T22:22:58.543;
232000;280;12351;11631;10040;2022-04-21T22:25:15.461;
233000;310;12625;11936;9843;2022-04-21T22:27:33.262;
234000;327;12802;12128;9703;2022-04-21T22:29:55.400;
235000;284;12183;11468;10269;2022-04-21T22:32:08.883;
236000;319;12697;12016;10059;2022-04-21T22:34:30.897;
237000;290;12317;11606;10625;2022-04-21T22:36:46.960;
238000;317;12713;12031;10371;2022-04-21T22:39:07.575;
239000;290;12311;11601;11183;2022-04-21T22:41:24.980;
240000;312;12164;11475;10768;2022-04-21T22:43:37.985;
241000;307;12446;11753;10757;2022-04-21T22:45:54.285;
242000;310;12462;11773;10045;2022-04-21T22:48:12.338;
243000;307;12537;11843;10275;2022-04-21T22:50:28.796;
244000;311;12387;11699;10251;2022-04-21T22:52:46.941;
245000;321;12496;11816;10270;2022-04-21T22:55:05.361;
246000;290;12417;11707;10750;2022-04-21T22:57:22.537;
247000;321;12742;12063;9829;2022-04-21T22:59:43.310;
248000;325;12355;11681;10484;2022-04-21T23:01:58.542;
249000;312;12441;11752;10691;2022-04-21T23:04:15.137;
250000;319;12292;11611;9854;2022-04-21T23:06:29.570;
251000;327;12508;11835;10321;2022-04-21T23:08:45.665;
252000;295;12915;12210;9784;2022-04-21T23:11:06.854;
253000;296;12700;11997;10012;2022-04-21T23:13:27.595;
254000;313;12486;11798;11044;2022-04-21T23:15:45.848;
255000;291;12208;11500;10887;2022-04-21T23:17:59.329;
256000;335;12607;11941;10037;2022-04-21T23:20:18.746;
